Date,User,Run,Cum. Profits,Comp. Systems,Months Completed,Level,Ransomware,Pay Ransom,Run2,Group,Best run,Pos,High Profit,Low Risk,Optimal,high risk,low profit,overspend,advesarial heaven,exposed,,,,,,
16-9-2025  15:17 PDT,RVTRVC @2025001,1,"2,088",18,60,2,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025001,2,"2,178",6,60,2,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:15 PDT,RVTRVC @2025001,3,"2,371",12,60,2,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:14 PDT,RVTRVC @2025001,1,"2,259",13,60,1,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:13 PDT,RVTRVC @2025001,2,"1,605",11,36,1,0,0,,,,,0,1,1,0,1,2,1,0,,,,,,
16-9-2025  15:12 PDT,RVTRVC @2025001,3,"1,409",7,24,1,0,0,,,,,0,1,1,0,1,2,1,0,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025001,4,"1,373",7,24,1,0,0,,,,,0,1,1,0,1,2,1,0,,,,,,
16-9-2025  15:17 PDT,RVTRVC @2025002,1,"2,437",13,60,2,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025002,2,"2,077",13,60,2,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025002,1,"2,192",12,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:09 PDT,RVTRVC @2025002,2,"2,178",16,60,1,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:15 PDT,RVTRVC @2025003,1,"2,455",14,60,2,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:14 PDT,RVTRVC @2025003,1,"1,492",31,36,1,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:13 PDT,RVTRVC @2025003,2,"2,268",9,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:12 PDT,RVTRVC @2025003,3,"2,185",12,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025003,4,752,44,60,1,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:10 PDT,RVTRVC @2025003,5,"2,086",2,60,1,0,0,,,,,0,1,1,0,1,2,1,0,,,,,,
16-9-2025  15:10 PDT,RVTRVC @2025003,6,"2,213",3,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025004,1,"2,423",8,60,2,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025004,1,"2,144",8,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025006,1,"2,398",16,60,2,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:09 PDT,RVTRVC @2025006,1,"2,092",18,60,1,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:17 PDT,RVTRVC @2025007,1,"2,300",8,60,2,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025007,1,"2,128",5,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025008,1,"2,522",11,60,2,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025008,1,"2,314",7,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025009,1,"2,281",7,60,2,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:10 PDT,RVTRVC @2025009,1,"2,047",9,60,1,0,0,,,,,0,1,1,0,1,2,1,0,,,,,,
16-9-2025  15:18 PDT,RVTRVC @2025010,1,"1,819",23,48,2,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025010,2,"2,165",19,60,2,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:14 PDT,RVTRVC @2025010,1,"1,447",26,60,1,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:13 PDT,RVTRVC @2025010,2,"1,672",22,60,1,0,0,,,,,0,0,0,1,1,1,2,1,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025010,3,"2,150",9,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:09 PDT,RVTRVC @2025010,4,"2,147",7,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
16-9-2025  15:16 PDT,RVTRVC @2025016,5,"2,680",24,60,2,0,0,,,,,1,0,1,1,0,0,1,2,,,,,,
16-9-2025  15:11 PDT,RVTRVC @2025016,6,"2,280",10,60,1,0,0,,,,,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:26 PDT,ISAC001,1,"-1,320",100,60,1,1,1,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:25 PDT,ISAC001,2,"1,590",8,60,1,1,1,2,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:20 PDT,ISAC001,1,-679,27,60,1,1,0,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:19 PDT,ISAC001,2,-179,47,60,1,1,0,2,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:18 PDT,ISAC001,3,"-9,576",100,60,1,1,0,3,0,0,0,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:17 PDT,ISAC001,4,"-4,090",60,60,1,1,0,4,0,0,0,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:17 PDT,ISAC001,5,"1,505",1,60,1,1,0,5,0,1,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:03 PDT,ISAC001,1,"2,853",22,60,2,0,0,1,0,0,1,1,0,1,1,0,0,1,2,,,,,, 
15-10-2024  14:00 PDT,ISAC001,1,"1,953",5,60,1,0,0,1,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  13:58 PDT,ISAC001,2,"2,257",7,60,1,0,0,2,0,0,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:25 PDT,ISAC003,1,949,31,60,1,1,1,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:18 PDT,ISAC003,1,4,32,60,1,1,0,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:03 PDT,ISAC003,1,"2,993",15,60,2,0,0,1,0,0,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  13:59 PDT,ISAC003,1,"2,109",13,60,1,0,0,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  13:58 PDT,ISAC003,2,"1,633",16,60,1,0,0,2,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:28 PDT,ISAC004,1,"1,703",7,60,1,1,1,1,0,1,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:26 PDT,ISAC004,2,"1,397",7,60,1,1,1,2,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:24 PDT,ISAC004,3,"1,553",1,60,1,1,1,3,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:21 PDT,ISAC004,1,"1,697",0,60,1,1,0,1,0,1,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:20 PDT,ISAC004,2,"1,324",1,48,1,1,0,2,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:19 PDT,ISAC004,3,"1,414",6,60,1,1,0,3,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:18 PDT,ISAC004,4,632,14,60,1,1,0,4,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:17 PDT,ISAC004,5,-511,25,60,1,1,0,5,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:04 PDT,ISAC004,1,"2,588",15,60,2,0,0,1,0,0,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  14:03 PDT,ISAC004,2,"2,165",24,60,2,0,0,2,0,0,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  13:59 PDT,ISAC004,1,"2,231",11,60,1,0,0,1,0,0,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:26 PDT,ISAC005,1,"1,536",4,60,1,1,1,1,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:25 PDT,ISAC005,2,"1,602",6,60,1,1,1,2,0,1,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:24 PDT,ISAC005,3,"-2,917",100,60,1,1,1,3,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:20 PDT,ISAC005,1,"1,184",6,60,1,1,0,1,0,1,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:18 PDT,ISAC005,2,985,2,60,1,1,0,2,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:16 PDT,ISAC005,3,769,21,12,1,1,0,3,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:03 PDT,ISAC005,1,"2,928",11,60,2,0,0,1,0,0,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  13:59 PDT,ISAC005,1,"2,252",5,60,1,0,0,1,0,0,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:25 PDT,ISAC006,1,-794,99,48,1,1,1,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:23 PDT,ISAC006,1,605,13,12,1,1,0,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:23 PDT,ISAC006,2,-883,21,60,1,1,0,2,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:04 PDT,ISAC006,1,"2,406",23,60,2,0,0,1,0,0,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  13:58 PDT,ISAC006,1,"1,821",13,36,1,0,0,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:50 PDT,ISAC007,1,"1,497",10,60,1,1,1,1,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:39 PDT,ISAC007,2,"1,329",15,60,1,1,1,2,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:32 PDT,ISAC007,3,881,28,60,1,1,1,3,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:31 PDT,ISAC007,4,"1,770",2,60,1,1,1,4,0,1,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:27 PDT,ISAC007,5,"1,439",1,60,1,1,1,5,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:25 PDT,ISAC007,6,"1,349",4,60,1,1,1,6,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:23 PDT,ISAC007,1,"1,765",1,60,1,1,0,1,0,1,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:22 PDT,ISAC007,2,87,24,60,1,1,0,2,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:20 PDT,ISAC007,3,-135,14,60,1,1,0,3,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:18 PDT,ISAC007,4,"-2,975",35,60,1,1,0,4,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:14 PDT,ISAC007,1,"1,430",31,60,2,0,0,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:12 PDT,ISAC007,2,"2,470",21,60,2,0,0,2,0,0,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  14:09 PDT,ISAC007,3,"2,640",17,60,2,0,0,3,0,1,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  14:04 PDT,ISAC007,4,"2,147",13,60,2,0,0,4,0,0,1,1,0,1,1,0,0,1,2,,,,,,
15-10-2024  14:01 PDT,ISAC007,1,"2,248",12,60,1,0,0,1,0,0,1,1,1,2,0,0,1,0,1,,,,,,
15-10-2024  14:25 PDT,ISAC008,1,"1,211",17,60,1,1,1,1,0,0,1,0,0,0,1,1,1,2,1,,,,,,
15-10-2024  14:19 PDT,ISAC008,1,"1,639",2,60,1,1,0,1,0,0,1,0,1,1,0,1,2,1,0,,,,,,
15-10-2024  14:17 PDT,ISAC008,2,-2,51,60,1,1,0,2,0,0,1,0,0,0,1,1,1,2,1,,,,,,
